raw_character,character_id,character_name,character_group,character_image
AUDREY,6,AUDREY,2,http://vignette4.wikia.nocookie.net/twinpeaks/images/7/7e/Audrey-Portal.jpg
AUDREY,6,AUDREY,2,http://vignette4.wikia.nocookie.net/twinpeaks/images/7/7e/Audrey-Portal.jpg
BARTENDER,7,BARTENDER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BATTIS,8,BATTIS,3,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BATTIS,8,BATTIS,3,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BEN,9,BENJAMIN,3,http://vignette2.wikia.nocookie.net/twinpeaks/images/6/6f/Ben-Portal2.jpg
BENJAMIN,9,BENJAMIN,3,http://vignette2.wikia.nocookie.net/twinpeaks/images/6/6f/Ben-Portal2.jpg
HORNE,9,BENJAMIN,3,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BERNARD,10,BERNARD,3,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BETTY,11,BETTY,7,http://vignette1.wikia.nocookie.net/twinpeaks/images/6/69/Betty-Portal.jpg
BIG ED,12,ED,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/6/69/BigEd-Portal.jpg
ED,12,ED,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/6/69/BigEd-Portal.jpg
BLACKIE,13,BLACKIE,3,http://vignette1.wikia.nocookie.net/twinpeaks/images/a/ad/Blackie-Portal.jpg
BOBBY,14,BOBBY,2,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/b6/Bobby-Portal.jpg
BOBBYS VOICE,14,BOBBY,2,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/b6/Bobby-Portal.jpg
BODYGUARD,15,BODYGUARD,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BRENNAN,16,BRENNAN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BRIDE,17,BRIDE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
BRIGGS,18,MAJOR BRIGGS,6,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2e/Garland-Portal.jpg
BRIGGS,18,MAJOR BRIGGS,6,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2e/Garland-Portal.jpg
MAJOR BRIGGS,18,MAJOR BRIGGS,6,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2e/Garland-Portal.jpg
BROCKMAN,19,BROCKMAN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CAPPY,20,CAPPY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CARETAKER,21,CARETAKER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CATHERINE,22,CATHERINE,5,http://vignette1.wikia.nocookie.net/twinpeaks/images/a/a3/Catherine-Portal.jpg
CATHERINE,22,CATHERINE,5,http://vignette1.wikia.nocookie.net/twinpeaks/images/a/a3/Catherine-Portal.jpg
CHEERING GIRL,23,CHEERING GIRL,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CHET,24,CHET,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CLERK,25,CLERK,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
COACH,26,COACH,8,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
COLE,27,COLE,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/e/ec/Gordon-Portal.jpg
COLLEEN,28,COLLEEN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
COOPER,29,COOPER,1,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/bb/Cooper-Portal.jpg
COOPER,29,COOPER,1,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/bb/Cooper-Portal.jpg
COOPER AS BOY,29,COOPER,1,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/bb/Cooper-Portal.jpg
COOPER TRUMAN,29,COOPER,1,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/bb/Cooper-Portal.jpg
COP,30,COP,1,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
CRAIG,31,CRAIG,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
DARYL LODWICK,32,DARYL LODWICK,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
DENISE,33,DENISE,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/a/a3/Denise-Portal.jpg
DESK CLERK,34,DESK CLERK,7,http://vignette4.wikia.nocookie.net/twinpeaks/images/5/5d/Randy-Portal.jpg
DOC,35,DOC HAYWARD,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/1b/DocHayward-Portal.jpg
DOC HAYWARD,35,DOC HAYWARD,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/1b/DocHayward-Portal.jpg
HAYWARD,35,DOC HAYWARD,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/1b/DocHayward-Portal.jpg
DONNA,36,DONNA,2,http://vignette1.wikia.nocookie.net/twinpeaks/images/c/cf/Donna-Portal.jpg
DONNA,36,DONNA,2,http://vignette1.wikia.nocookie.net/twinpeaks/images/c/cf/Donna-Portal.jpg
DOUGIE,37,DOUGIE,6,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
DWAYNE,38,DWAYNE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
EARLE,39,EARLE,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/5/5e/Windom-Portal.jpg
EARLE ON SCREEN,39,EARLE,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/5/5e/Windom-Portal.jpg
WINDOM,39,EARLE,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/5/5e/Windom-Portal.jpg
ECKHARDT,40,ECKHARDT,5,http://vignette1.wikia.nocookie.net/twinpeaks/images/c/c6/Thomas-Portal.jpg
EILEEN,41,EILEEN,7,http://vignette2.wikia.nocookie.net/twinpeaks/images/1/1e/Eileen-Portal.jpg
EINER,42,EINER,7,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/18/Einar-Portal.jpg
EMERALD,43,EMERALD,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
EMILE,44,EMILE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
ERNIE,45,ERNIE,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2d/Ernie-Portal.jpg
EVELVN,46,EVELYN,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/a/a1/Evelyn-Portal.jpg
EVELYN,46,EVELYN,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/a/a1/Evelyn-Portal.jpg
FATHER CLARENCE,47,FATHER CLARENCE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
GERARD,48,GERARD,3,http://vignette3.wikia.nocookie.net/twinpeaks/images/6/6f/Gerard-Portal.jpg
GIRARD,48,GERARD,3,http://vignette3.wikia.nocookie.net/twinpeaks/images/6/6f/Gerard-Portal.jpg
GIANT,49,GIANT,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/d/d4/Giant-Portal.jpg
GREEGE,50,GREEGE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
GWEN,51,GWEN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
HANK,52,HANK,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/5/59/Hank-Portal.jpg
HARDY,53,HARDY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
HAROLD,54,HAROLD,7,http://vignette4.wikia.nocookie.net/twinpeaks/images/3/39/Harold-Portal.jpg
HAWK,55,HAWK,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/a/ac/Hawk-Portal.jpg
HAWKS,55,HAWK,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/a/ac/Hawk-Portal.jpg
HEBA,56,HEBA,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
HORSE,57,HORSE,4,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
HUSBAND,58,HUSBAND,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JACOBY,59,JACOBY,6,http://vignette2.wikia.nocookie.net/twinpeaks/images/4/40/Jacoby-Portal.jpg
JACQUES,60,JACQUES,3,http://vignette2.wikia.nocookie.net/twinpeaks/images/4/49/Jacques-Portal.jpg
JADE,61,JADE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JAMES,62,JAMES,2,http://vignette2.wikia.nocookie.net/twinpeaks/images/3/3c/James-Portal.jpg
JANEK,63,JANEK,6,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JEAN,64,JEAN,3,http://vignette2.wikia.nocookie.net/twinpeaks/images/4/4f/Jean-Portal.jpg
JEFFREY,65,JEFFREY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JERRY,66,JERRY,3,http://vignette1.wikia.nocookie.net/twinpeaks/images/e/e2/Jerry-Portal.jpg
JOHNNY,67,JOHNNY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JOHNNYS VOICE,67,JOHNNY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
JOISE,68,JOSIE,5,http://vignette2.wikia.nocookie.net/twinpeaks/images/0/0a/Josie-Portal2.jpg
JOSIE,68,JOSIE,5,http://vignette2.wikia.nocookie.net/twinpeaks/images/0/0a/Josie-Portal2.jpg
JOSIE,68,JOSIE,5,http://vignette2.wikia.nocookie.net/twinpeaks/images/0/0a/Josie-Portal2.jpg
JOSIE        ,68,JOSIE,5,http://vignette2.wikia.nocookie.net/twinpeaks/images/0/0a/Josie-Portal2.jpg
JONATHAN,69,JONATHAN,7,http://vignette1.wikia.nocookie.net/twinpeaks/images/9/9b/Jonathan-Portal.jpg
JONES,70,JONES,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
KILLER BOB,71,KILLER BOB,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/3/3d/Bob-Portal.jpg
LANA,72,LANA,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/4/42/Lana-Portal.jpg
LAURA,73,LAURA,2,http://vignette2.wikia.nocookie.net/twinpeaks/images/8/86/Laura-Portal.jpg
LAZARE,74,LAZARE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LELAND,75,LELAND,6,http://vignette2.wikia.nocookie.net/twinpeaks/images/2/23/Leland-Portal.jpg
LELAND,75,LELAND,6,http://vignette2.wikia.nocookie.net/twinpeaks/images/2/23/Leland-Portal.jpg
PALMER,75,LELAND,6,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LEO,76,LEO,3,http://vignette2.wikia.nocookie.net/twinpeaks/images/e/eb/Leo-Portal.jpg
LITTLE MAN,77,LITTLE MAN,4,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LITTLEHORSE,78,LITTLEHORSE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LODWICK,79,LODWICK,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LOG LADY,80,LOG LADY,4,http://vignette2.wikia.nocookie.net/twinpeaks/images/d/d7/Log-Portal.jpg
LOOMER,81,LOOMER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
LUCE,82,LUCY,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/c/cf/Lucy-Portal.jpg
LUCY,82,LUCY,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/c/cf/Lucy-Portal.jpg
LUCYS VOICE,82,LUCY,1,http://vignette2.wikia.nocookie.net/twinpeaks/images/c/cf/Lucy-Portal.jpg
MADDY,83,MADELEINE,2,http://vignette1.wikia.nocookie.net/twinpeaks/images/2/26/Maddy-Portal2.jpg
MADELEINE,83,MADELEINE,2,http://vignette1.wikia.nocookie.net/twinpeaks/images/2/26/Maddy-Portal2.jpg
MALCOLM,84,MALCOLM,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2c/Malcolm-Portal.jpg
MALCOM,84,MALCOLM,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/2/2c/Malcolm-Portal.jpg
MALE BOARD MEMBER,85,MALE BOARD MEMBER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MAN IN DRESS,86,MAN IN DRESS,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MIBBLER,87,MIBBLER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MIKE,88,MIKE,2,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MILFORD,89,MILFORD,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MODEL,90,MODEL,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MOONEY,91,MOONEY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MOUNTIE,92,MOUNTIE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
NADINE,93,NADINE,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/1/12/Nadine-Portal.jpg
NANCY,94,NANCY,7,http://vignette2.wikia.nocookie.net/twinpeaks/images/c/c5/Nancy-Portal.jpg
NICKY,95,NICKY,6,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
NILES,96,NILES,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
NORM,97,NORMA,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/4/4f/Norma-Portal.jpg
NORMA,97,NORMA,8,http://vignette1.wikia.nocookie.net/twinpeaks/images/4/4f/Norma-Portal.jpg
NURSE,98,NURSE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
PETE,99,PETE,5,http://vignette4.wikia.nocookie.net/twinpeaks/images/b/be/Pete-Portal.jpg
PETE,99,PETE,5,http://vignette4.wikia.nocookie.net/twinpeaks/images/b/be/Pete-Portal.jpg
PINKLE,100,PINKLE,7,http://vignette2.wikia.nocookie.net/twinpeaks/images/2/24/Pinkle-Portal.jpg
RACINE,101,RACINE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
READING GIRL,102,READING GIRL,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
REILLY,103,REILLY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
RENAULT,104,RENAULT,3,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
REVEREND,105,REVEREND,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
SARAH,106,SARAH,6,http://vignette1.wikia.nocookie.net/twinpeaks/images/c/c1/Sarah-Portal.jpg
SHELLY,107,SHELLY,2,http://vignette4.wikia.nocookie.net/twinpeaks/images/c/c3/Shelly-Portal.jpg
SMITH,108,SMITH,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
SPARKY,109,SPARKY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
STERNWOOD,110,STERNWOOD,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
STERNWOOD,110,STERNWOOD,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
STRANGER,111,STRANGER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
SWABBIE,112,SWABBIE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
SWAIN,113,SWAIN,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TIM,114,TIM,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TOJAMURA,115,TOJAMURA,5,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TOJOMURA,115,TOJAMURA,5,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TOM,116,TOM,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TREMAYNE,117,TREMAYNE,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/b/b4/Dick-Portal.jpg
TREMYANE,117,TREMAYNE,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/b/b4/Dick-Portal.jpg
TREYMAYNE,117,TREMAYNE,6,http://vignette4.wikia.nocookie.net/twinpeaks/images/b/b4/Dick-Portal.jpg
TRUDY,118,TRUDY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TRUMAN,119,TRUMAN,1,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/14/Truman-Portal.jpg
TRUMAN AND SHELLY,119,TRUMAN,1,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/14/Truman-Portal.jpg
TRUMAN COOPER,119,TRUMAN,1,http://vignette4.wikia.nocookie.net/twinpeaks/images/1/14/Truman-Portal.jpg
VIVIAN,120,VIVIAN,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/b/b3/Vivian-Portal.jpg
WAITER,121,WAITER,7,http://vignette3.wikia.nocookie.net/twinpeaks/images/6/6c/Waiter-Portal.jpg
WAITRESS,122,WAITRESS,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
WHEELER,123,WHEELER,7,http://vignette4.wikia.nocookie.net/twinpeaks/images/4/4b/Jack-Portal.jpg
WINGATE,124,WINGATE,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
ZIPPER,125,ZIPPER,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
KING,126,KING,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
MONTANA,127,MONTANA,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TERRY,128,TERRY,7,https://upload.wikimedia.org/wikipedia/commons/8/83/David_face.png
TREMOND,129,TREMOND,7,http://vignette1.wikia.nocookie.net/twinpeaks/images/9/98/Pierre_Portal.jpg
